Bank holidays,Type
1/1/12,New Year?s Day
12/26/12,Boxing Day
12/25/12,Christmas Day
8/27/12,Summer bank holiday
5/6/12,Queen?s Diamond Jubilee (extra bank holiday)
4/6/12,Spring bank holiday (substitute day)
7/5/12,Early May bank holiday
9/4/12,Easter Monday
6/4/12,Good Friday
2/1/12,New Year?s Day (substitute day)
12/26/13,Boxing Day
12/25/13,Christmas Day
8/26/13,Summer bank holiday
5/27/13,Spring bank holiday
6/5/13,Early May bank holiday
1/4/13,Easter Monday
3/29/13,Good Friday
1/1/13,New Year?s Day
12/26/14,Boxing Day
12/25/14,Christmas Day
8/25/14,Summer bank holiday
5/26/14,Spring bank holiday
5/5/14,Early May bank holiday
4/21/14,Easter Monday
4/18/14,Good Friday
1/1/14,New Year?s Day
